"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0051960","regulation of nervous system development","35/493","463/18986",0.0755939524838013,2.91121051086704,6.79780078175439,1.75051602678849e-08,7.44494466193145e-05,6.15628846894773e-05,"MECP2/ETV5/SLIT2/DCC/PLXNB2/SLITRK1/TENM4/HES5/LGI4/CLSTN2/TNFRSF1B/POU4F1/ZNF488/LEF1/SEMA6D/HES3/CBLN2/MYB/CHODL/WNT3A/SRPX2/FEZF2/SYT4/BRINP1/EGR2/ZNF365/PLXNA4/NEURL1/IL34/BHLHE41/RNF112/NKX6-2/MCF2/CBLN1/ATOH1",35
"BP","GO:0050767","regulation of neurogenesis","30/493","383/18986",0.0783289817232376,3.01653964908192,6.50938164536405,8.64418555281497e-08,0.00018381860578061,0.000152001178589236,"MECP2/ETV5/SLIT2/DCC/PLXNB2/SLITRK1/TENM4/HES5/TNFRSF1B/POU4F1/ZNF488/LEF1/SEMA6D/HES3/MYB/CHODL/WNT3A/FEZF2/SYT4/BRINP1/EGR2/ZNF365/PLXNA4/NEURL1/IL34/BHLHE41/RNF112/NKX6-2/MCF2/ATOH1",30
"BP","GO:0010720","positive regulation of cell development","32/493","460/18986",0.0695652173913043,2.67903695211218,5.95214381023527,4.74393172482788e-07,0.000672531387523099,0.000556121961145612,"MECP2/INPP5D/KITLG/ETV5/SLIT2/PLXNB2/SLITRK1/TNFSF9/KLF10/ACTN3/TENM4/TNFRSF1B/POU4F1/ZNF488/LEF1/MYB/CDH5/CHODL/EGR3/WNT3A/OCSTAMP/EGR2/ZNF365/PLXNA4/NEURL1/IL34/RNF112/SOCS1/PIK3R6/NKX6-2/CD101/IL15",32
"BP","GO:0007613","memory","15/493","129/18986",0.116279069767442,4.47804141704797,6.47170003640895,1.31904895890287e-06,0.00112283136741889,0.000928478869045132,"MECP2/CALB1/TAFA2/ADCY1/NPAS4/SCN2A/SYT4/SLC8A3/BRINP1/SHANK1/KCNK2/ADGRF1/TH/SORCS3/MUSK",15
"BP","GO:0097529","myeloid leukocyte migration","21/493","243/18986",0.0864197530864197,3.32812460871961,5.96368754181519,1.61150295897846e-06,0.00112283136741889,0.000928478869045132,"CXCL5/KITLG/SLIT2/EDNRB/CXCL3/CXCL1/MMP2/CXCL6/MSTN/GREM1/CXCL8/CXCL2/AZU1/CCL2/PTGER4/CCN3/PRTN3/IL34/CXCL10/CHGA/TAFA4",21
"BP","GO:0072132","mesenchyme morphogenesis","10/493","58/18986",0.172413793103448,6.6398545149332,7.02351654485571,2.17066592390441e-06,0.00112283136741889,0.000928478869045132,"MDM2/ACTG2/ADAMTS5/ACTA2/LEF1/MSX2/WNT3A/TWIST1/ISL1/FOXC2",10
"BP","GO:0042063","gliogenesis","26/493","355/18986",0.0732394366197183,2.82053538268148,5.65353770775532,2.23106322957444e-06,0.00112283136741889,0.000928478869045132,"MECP2/ETV5/CRB1/TENM4/HES5/LGI4/LAMA2/PTPRB/PLP1/TNFRSF1B/ZNF488/LEF1/NEUROD4/MYB/AZU1/CCL2/SLC8A3/GPR17/EGR2/ZNF365/TAL1/IL34/RNF112/NKX6-2/ANO1/ATOH1",26
"BP","GO:0006935","chemotaxis","31/493","472/18986",0.0656779661016949,2.52933441056142,5.4934908511799,2.40618463078595e-06,0.00112283136741889,0.000928478869045132,"CXCL5/SLIT2/ACKR3/EDNRB/CXCL3/CXCL1/S100A4/HGF/MMP2/CXCL6/GDNF/NRG1/MSTN/LEF1/GREM1/SEMA6D/CXCL8/ITGB3/CXCL2/AZU1/CCL2/EGR3/WNT3A/FEZF2/CCN3/PLXNA4/IL34/CXCL10/PROK2/CHGA/TAFA4",31
"BP","GO:0042330","taxis","31/493","474/18986",0.0654008438818565,2.51866211347044,5.46699572365056,2.62565442657851e-06,0.00112283136741889,0.000928478869045132,"CXCL5/SLIT2/ACKR3/EDNRB/CXCL3/CXCL1/S100A4/HGF/MMP2/CXCL6/GDNF/NRG1/MSTN/LEF1/GREM1/SEMA6D/CXCL8/ITGB3/CXCL2/AZU1/CCL2/EGR3/WNT3A/FEZF2/CCN3/PLXNA4/IL34/CXCL10/PROK2/CHGA/TAFA4",31
"BP","GO:0014015","positive regulation of gliogenesis","11/493","74/18986",0.148648648648649,5.724631325037,6.64875195267786,3.09152168290524e-06,0.00112283136741889,0.000928478869045132,"MECP2/ETV5/TENM4/TNFRSF1B/ZNF488/MYB/EGR2/ZNF365/IL34/RNF112/NKX6-2",11
