"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0006261","DNA-templated DNA replication","15/305","169/18986",0.0887573964497041,5.52507517702978,7.55003767472068,9.95185591457594e-08,0.000204909818834631,0.000170758182362193,"MCM4/MCM10/CDC6/E2F7/POLE/RECQL4/MCM2/GINS4/CDC45/TONSL/EXO1/TICRR/POLA2/ZNF365/CHTF8",15
"BP","GO:0007613","memory","13/305","129/18986",0.10077519379845,6.27317321133562,7.67866554898236,1.63476473250243e-07,0.000204909818834631,0.000170758182362193,"MECP2/CALB1/TAFA2/ADCY1/NPAS4/SCN2A/SLC8A3/BRINP1/SHANK1/KCNK2/ADGRF1/SORCS3/MUSK",13
"BP","GO:0006260","DNA replication","19/305","283/18986",0.0671378091872792,4.17927359091699,6.88526473874087,1.74243043226727e-07,0.000204909818834631,0.000170758182362193,"MCM4/CDKN1A/MCM10/CDC6/CHAF1A/DTL/E2F7/POLE/RECQL4/CHAF1B/MCM2/GINS4/CDC45/TONSL/EXO1/TICRR/POLA2/ZNF365/CHTF8",19
"BP","GO:0010720","positive regulation of cell development","24/305","460/18986",0.0521739130434783,3.24778332145403,6.23587915770405,4.62554100522876e-07,0.000370226607452246,0.000308522172876872,"MECP2/INPP5D/KITLG/ETV5/SLIT2/PLXNB2/SLITRK1/TNFSF9/KLF10/TENM4/ZNF488/LEF1/MYB/CHODL/EGR3/WNT3A/OCSTAMP/EGR2/ZNF365/PLXNA4/NEURL1/IL34/SOCS1/CD101",24
"BP","GO:0071625","vocalization behavior","6/305","20/18986",0.3,18.6747540983607,10.104984815769,5.2469757291985e-07,0.000370226607452246,0.000308522172876872,"SLITRK1/SHANK2/SRPX2/BRINP1/NRXN3/SHANK1",6
"BP","GO:0007611","learning or memory","18/305","282/18986",0.0638297872340425,3.97335193582142,6.42774714642013,7.73112737738153e-07,0.000454590289790034,0.000378825241491695,"MECP2/CALB1/TAFA2/CLSTN2/ADCY1/SHANK2/NPAS4/SCN2A/SLC8A3/BRINP1/NRXN3/SHANK1/CRH/EGR2/KCNK2/ADGRF1/SORCS3/MUSK",18
"BP","GO:0051962","positive regulation of nervous system development","18/305","297/18986",0.0606060606060606,3.77267759562842,6.15374826012628,1.62826757640841e-06,0.000731231167266399,0.000609359306055332,"MECP2/ETV5/SLIT2/PLXNB2/SLITRK1/TENM4/CLSTN2/ZNF488/CBLN2/MYB/CHODL/WNT3A/SRPX2/EGR2/ZNF365/PLXNA4/NEURL1/IL34",18
"BP","GO:0050890","cognition","19/305","329/18986",0.0577507598784195,3.59493746574319,6.06679192215791,1.71215277480452e-06,0.000731231167266399,0.000609359306055332,"MECP2/CALB1/MFSD2A/TAFA2/CLSTN2/ADCY1/SHANK2/NPAS4/SCN2A/SLC8A3/BRINP1/NRXN3/SHANK1/CRH/EGR2/KCNK2/ADGRF1/SORCS3/MUSK",19
"BP","GO:0051960","regulation of nervous system development","23/305","463/18986",0.0496760259179266,3.0922918953369,5.82387795203722,1.86538563078163e-06,0.000731231167266399,0.000609359306055332,"MECP2/ETV5/SLIT2/DCC/PLXNB2/SLITRK1/TENM4/CLSTN2/ZNF488/LEF1/CBLN2/MYB/CHODL/WNT3A/SRPX2/BRINP1/EGR2/ZNF365/PLXNA4/NEURL1/IL34/BHLHE41/MCF2",23
"BP","GO:0006270","DNA replication initiation","7/305","38/18986",0.184210526315789,11.4669542709232,8.25250122091456,2.12203326569478e-06,0.000748653336137118,0.000623877780114265,"MCM4/MCM10/CDC6/MCM2/CDC45/TICRR/POLA2",7
"BP","GO:0050767","regulation of neurogenesis","20/305","383/18986",0.0522193211488251,3.25060993879211,5.6854296040098,4.23506879576878e-06,0.00135830206467929,0.00113191838723275,"MECP2/ETV5/SLIT2/DCC/PLXNB2/SLITRK1/TENM4/ZNF488/LEF1/MYB/CHODL/WNT3A/BRINP1/EGR2/ZNF365/PLXNA4/NEURL1/IL34/BHLHE41/MCF2",20
"BP","GO:1990868","response to chemokine","10/305","102/18986",0.0980392156862745,6.10286081645773,6.60270620160262,5.71100529816126e-06,0.00154987897630099,0.00129156581358416,"CXCL5/SLIT2/CXCL3/CXCL1/CXCL6/CXCL8/CXCL2/CCL2/CXCL10/DOCK8",10
"BP","GO:1990869","cellular response to chemokine","10/305","102/18986",0.0980392156862745,6.10286081645773,6.60270620160262,5.71100529816126e-06,0.00154987897630099,0.00129156581358416,"CXCL5/SLIT2/CXCL3/CXCL1/CXCL6/CXCL8/CXCL2/CCL2/CXCL10/DOCK8",10
"BP","GO:0097529","myeloid leukocyte migration","15/305","243/18986",0.0617283950617284,3.84254199554746,5.69830425268476,9.72327026242168e-06,0.00245026410613026,0.00204188675510855,"CXCL5/KITLG/SLIT2/CXCL3/CXCL1/MMP2/CXCL6/CXCL8/CXCL2/CCL2/PTGER4/CCN3/IL34/CXCL10/CHGA",15
"BP","GO:0050769","positive regulation of neurogenesis","15/305","247/18986",0.0607287449392713,3.78031459480985,5.61984542901414,1.18135784955108e-05,0.00277855366214415,0.00231546138512012,"MECP2/ETV5/SLIT2/PLXNB2/SLITRK1/TENM4/ZNF488/MYB/CHODL/WNT3A/EGR2/ZNF365/PLXNA4/NEURL1/IL34",15
"BP","GO:0048167","regulation of synaptic plasticity","14/305","220/18986",0.0636363636363636,3.96131147540984,5.64501024141653,1.36769540734322e-05,0.0030157683731918,0.00251314031099317,"MECP2/CALB1/ADCY1/CYP46A1/SHANK2/CAMK2A/NPAS4/SLC18A3/SLC8A3/CRH/EGR2/NEURL1/SORCS3/SHISA9",14
"BP","GO:0006268","DNA unwinding involved in DNA replication","5/305","21/18986",0.238095238095238,14.8212334113973,8.09720594667147,1.70569530932796e-05,0.00353981944194649,0.00294984953495541,"MCM4/RECQL4/MCM2/GINS4/CDC45",5
"BP","GO:0070098","chemokine-mediated signaling pathway","9/305","93/18986",0.0967741935483871,6.02411422527763,6.20591291312059,1.86857001742903e-05,0.0036623972341609,0.00305199769513409,"CXCL5/SLIT2/CXCL3/CXCL1/CXCL6/CXCL8/CXCL2/CCL2/CXCL10",9
"BP","GO:0014015","positive regulation of gliogenesis","8/305","74/18986",0.108108108108108,6.72964111652636,6.31000510610905,2.43118300452488e-05,0.00432718826908989,0.00360599022424158,"MECP2/ETV5/TENM4/ZNF488/MYB/EGR2/ZNF365/IL34",8
"BP","GO:0006935","chemotaxis","21/305","472/18986",0.0444915254237288,2.76956098916366,4.97440985739847,2.76719202827182e-05,0.00432718826908989,0.00360599022424158,"CXCL5/SLIT2/CXCL3/CXCL1/MMP2/CXCL6/GDNF/NRG1/LEF1/CXCL8/ITGB3/CXCL2/CCL2/EGR3/WNT3A/CCN3/PLXNA4/IL34/CXCL10/PROK2/CHGA",21
"BP","GO:0050806","positive regulation of synaptic transmission","12/305","176/18986",0.0681818181818182,4.24426229508197,5.52500983599667,2.86702367766968e-05,0.00432718826908989,0.00360599022424158,"MECP2/CALB1/LGI1/LAMA2/CLSTN2/ADCY1/CYP46A1/SHANK2/CCL2/SLC18A3/SLC8A3/CRH",12
"BP","GO:0048511","rhythmic process","16/305","299/18986",0.0535117056856187,3.33105981687593,5.1912791117165,2.90360644780213e-05,0.00432718826908989,0.00360599022424158,"SLIT2/TYMS/EGR1/DTL/MMP2/KLF10/PTPRN/ADCY1/CA12/EGR3/CRH/TWIST1/BHLHE41/PROK2/AFP/TPH1",16
"BP","GO:0000727","double-strand break repair via break-induced replication","4/305","12/18986",0.333333333333333,20.7497267759563,8.74434787849901,2.91979430310918e-05,0.00432718826908989,0.00360599022424158,"MCM4/MCM2/GINS4/CDC45",4
"BP","GO:0042330","taxis","21/305","474/18986",0.0443037974683544,2.75787507781697,4.95228544690831,2.9436654891768e-05,0.00432718826908989,0.00360599022424158,"CXCL5/SLIT2/CXCL3/CXCL1/MMP2/CXCL6/GDNF/NRG1/LEF1/CXCL8/ITGB3/CXCL2/CCL2/EGR3/WNT3A/CCN3/PLXNA4/IL34/CXCL10/PROK2/CHGA",21
