"mouse_gene","human_gene"
"Aldh1l1","ALDH1L1"
"Sox12","SOX12"
"Sry","SRY"
"Fry","FRY"
"Rpe65","RPE65"
"Ywhae","YWHAE"
"Camkv","CAMKV"
"Hsd3b8","HSD3B1"
"Hsd3b8","HSD3B2"
"Hsd3b9","HSD3B1"
"Hsd3b9","HSD3B2"
"Hsd3b6","HSD3B1"
"Hsd3b6","HSD3B2"
"Hsd3b1","HSD3B1"
"Hsd3b1","HSD3B2"
"Hsd3b2","HSD3B1"
"Hsd3b2","HSD3B2"
"Hsd3b4","HSD3B1"
"Hsd3b4","HSD3B2"
"Hsd3b3","HSD3B1"
"Hsd3b3","HSD3B2"
"Hsd3b5","HSD3B1"
"Hsd3b5","HSD3B2"
"Tst","TST"
"Mpst","MPST"
"Hs3st1","HS3ST1"
"Hs3st2","HS3ST2"
"Hs3st3b1","HS3ST3B1"
"Hs3st3a1","HS3ST3A1"
"Hs3st4","HS3ST4"
"Rps11","RPS11"
"Tnfrsf9","TNFRSF9"
"Ticrr","TICRR"
"Bsg","BSG"
"Rpl36a-ps1","RPL36A"
"Gm6525","RPL36AL"
"Rpl36al","RPL36A"
"Rpl36al","RPL36AL"
"Rpl36a","RPL36A"
"Rpl6","RPL6"
"Hs6st1","HS6ST1"
"Hs6st3","HS6ST3"
"Kdsr","KDSR"
"Map9","MAP9"
"Tnfaip3","TNFAIP3"
"Adora2a","ADORA2A"
"Rbfox1","RBFOX1"
"Mug5","PZP"
"Mug1","PZP"
"Mug2","PZP"
"Adora3","ADORA3"
"H2-Oa","HLA-DOA"
"Hba-x","HBZ"
"Hba-a2","HBA1"
"Hba-a2","HBA2"
"Hbq1a","HBQ1"
"Cryaa","CRYAA"
"Prxl2c","PRXL2C"
"Aak1","AAK1"
"Aanat","AANAT"
"Aars1","AARS1"
"Rpl9-ps6","RPL9"
"Rpl9","RPL9"
"Abca1","ABCA1"
"Abca17","ABCA17P"
"Abca15","ABCA15P"
"Abca3","ABCA3"
"Abcb5","ABCB5"
"Abcb4","ABCB4"
"Abcb1b","ABCB1"
"Abcb1a","ABCB1"
"Tap1","TAP1"
"Tap2","TAP2"
"Abcb6","ABCB6"
"Abcc6","ABCC6"
"Cftr","CFTR"
"Abcf2","ABCF2"
"Abcf2","ABCF2-H2BK1"
"Abcg4","ABCG4"
"Abhd10","ABHD10"
"Abhd17a","ABHD17A"
"Abhd2","ABHD2"
"Ephx4","EPHX4"
"Abhd8","ABHD8"
"Abi1","ABI1"
"Abi3bp","ABI3BP"
"Aoc1l2","AOC1"
"Aoc1l3","AOC1"
"Aoc1","AOC1"
"Aoc1l1","AOC1"
"Abra","ABRA"
"Abraxas1","ABRAXAS1"
"Abraxas2","ABRAXAS2"
"Adcy5","ADCY5"
"Acap2","ACAP2"
"Soat2","SOAT2"
"Atp2a1","ATP2A1"
"Acaca","ACACA"
"Asic2","ASIC2"
"Asic1","ASIC1"
"Asic3","ASIC3"
"Asic4","ASIC4"
"Fgf8","FGF8"
"Furin","FURIN"
"A1cf","A1CF"
"Macf1","MACF1"
"Larp6","LARP6"
"Chrna1","CHRNA1"
"Chrnb1","CHRNB1"
"Chrne","CHRNE"
"Chrng","CHRNG"
"Pgm5","PGM5"
"Acin1","ACIN1"
"Tnk1","TNK1"
"Tnk2","TNK2"
"Acly","ACLY"
"Sdhaf3","SDHAF3"
"Acot11","ACOT11"
"Baat","BAAT"
"Acot9","ACOT9"
"Acp5","ACP5"
"Pxylp1","PXYLP1"
"Adipoq","ADIPOQ"
"Acsl1","ACSL1"
"Acsl3","ACSL3"
"Acsl4","ACSL4"
"Acss1","ACSS1"
"Traf3ip2","TRAF3IP2"
"Actc1","ACTC1"
"Inhba","INHBA"
"Inhbb","INHBB"
"Acta1","ACTA1"
"Acte1","ACTE1P"
"Pomc","POMC"
"Actb","ACTB"
"Actg1","ACTG1"
"Actn2","ACTN2"
"Actn3","ACTN3"
"Actr1a","ACTR1A"
"Actr1b","ACTR1B"
"Actr2","ACTR2"
"Acvr2a","ACVR2A"
"Acvr2b","ACVR2B"
"Acvr1","ACVR1"
"Acvr1b","ACVR1B"
"Noc3l","NOC3L"
"Ada","ADA"
"Adal","MAPDA"
"Adam10","ADAM10"
"Adam12","ADAM12"
"Adam17","ADAM17"
"Adam8","ADAM8"
"Adam9","ADAM9"
"Adamts15","ADAMTS15"
"Adamts2","ADAMTS2"
"Adamts8","ADAMTS8"
"Adamtsl2","ADAMTSL2"
"Thsd4","THSD4"
"Adarb1","ADARB1"
"Coq8a","COQ8A"
"Coq8b","COQ8B"
"Adcy8","ADCY8"
"Adcy3","ADCY3"
"Adcy7","ADCY7"
"Adcy6","ADCY6"
"Adcy9","ADCY9"
"Adcyap1","ADCYAP1"
"Adcyap1r1","ADCYAP1R1"
"Add3","ADD3"
"Plin2","PLIN2"
"Adgra1","ADGRA1"
"Adgrg7","ADGRG7"
"Adgrl2","ADGRL2"
"Adh5","ADH5"
"Adipor1","ADIPOR1"
"Adissp","ADISSP"
"Adk","ADK"
"Adm2","ADM2"
"Gpr182","ACKR5"
"Adnp","ADNP"
"Adnp2","ADNP2"
"Adprs","ADPRS"
"Adprm","ADPRM"
"Parp2","PARP2"
"Sars1","SARS1"
"Adra1a","ADRA1A"
"Adrm1","ADRM1"
"Adrm1b","ADRM1"
"Adss2","ADSS2"
"Adss1","ADSS1"
"Ap1g1","AP1G1"
"Hba-a1","HBA1"
"Hba-a1","HBA2"
"Slc4a1","SLC4A1"
"Slc4a2","SLC4A2"
"Slc4a3","SLC4A3"
"Aebp1","AEBP1"
"Ctnna1","CTNNA1"
