"mouse_gene","human_gene"
"Hs6st3","HS6ST3"
"Actn2","ACTN2"
"Thsd4","THSD4"
"Adcy7","ADCY7"
"Adgrl2","ADGRL2"
"Has3","HAS3"
"Alcam","ALCAM"
"Prkaa2","PRKAA2"
"Ankfn1","ANKFN1"
"Ankrd33b","ANKRD33B"
"Apbb2","APBB2"
"Sorbs2","SORBS2"
"Arhgap29","ARHGAP29"
"Arhgef28","ARHGEF28"
"Map3k5","MAP3K5"
"Robo2","ROBO2"
"B3galt1","B3GALT1"
"Bcl2","BCL2"
"Bcl6","BCL6"
"Bcl2l11","BCL2L11"
"Vwc2l","VWC2L"
"Bsn","BSN"
"Btbd3","BTBD3"
"Cabp7","CABP7"
"Gch1","GCH1"
"Abcc4","ABCC4"
"Myo5b","MYO5B"
"Frzb","FRZB"
"Six3","SIX3"
"Colec12","COLEC12"
"Tenm3","TENM3"
"Nav3","NAV3"
"Smoc2","SMOC2"
"Tgfbr2","TGFBR2"
"Gpx1","GPX1"
"Mgll","MGLL"
"Cdh12","CDH12"
"Alk","ALK"
"Cit","CIT"
"Kit","KIT"
"Npas2","NPAS2"
"Cobll1","COBLL1"
"Nr2f2","NR2F2"
"Cadps2","CADPS2"
"Crhr1","CRHR1"
"Crhr1","LINC02210-CRHR1"
"Kat14","KAT14"
"Cxcl12","CXCL12"
"Drd1","DRD1"
"Asap2","ASAP2"
"Scml4","SCML4"
"Elavl4","ELAVL4"
"Epas1","EPAS1"
"Esrrg","ESRRG"
"Dusp6","DUSP6"
"Kazn","KAZN"
"Retreg1","RETREG1"
"Tafa1","TAFA1"
"Unc5c","UNC5C"
"Mrtfa","MRTFA"
"Tlk1","TLK1"
"Etl4","KIAA1217"
"Prickle1","PRICKLE1"
"Iqgap2","IQGAP2"
"Rasgef1b","RASGEF1B"
"Epha7","EPHA7"
"Pcdh10","PCDH10"
"Napepld","NAPEPLD"
"Nrip1","NRIP1"
"Zxdb","ZXDA"
"Zxdb","ZXDB"
"Fam43a","FAM43A"
"Plch2","PLCH2"
"Sema6a","SEMA6A"
"Gpr88","GPR88"
"Stard8","STARD8"
"Arhgap10","ARHGAP10"
"Foxo1","FOXO1"
"Gpc6","GPC6"
"Heg1","HEG1"
"Sfrp2","SFRP2"
"Hopx","HOPX"
"Rreb1","RREB1"
"Nrp2","NRP2"
"Sox5","SOX5"
"Fras1","FRAS1"
"Igfn1","IGFN1"
"Cadm2","CADM2"
