"gene_id","gene_symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000169057.25","MECP2","protein_coding",83637.1109691961,4.85407556656778,0.0856917752898435,56.6457580106069,0,0
"ENSG00000274317.2","LINC02334","lncRNA",1101.57055648404,2.73575257097289,0.119664117941364,22.8619290229794,1.11206403747278e-115,1.19797098436755e-111
"ENSG00000163735.7","CXCL5","protein_coding",934.485472073232,2.54690608375556,0.13141845960809,19.380124309407,1.13572274887386e-83,8.15638220816243e-80
"ENSG00000168918.14","INPP5D","protein_coding",772.510708690472,3.00604305698569,0.17292621105853,17.3833858880319,1.10247778043958e-67,5.93822094489267e-64
"ENSG00000132274.17","TRIM22","protein_coding",2966.95262449597,1.52693088904867,0.089119589390856,17.133504535708,8.34716626724825e-66,3.59679394455727e-62
"ENSG00000250337.10","PURPL","lncRNA",25055.1783197235,1.32126729648101,0.0804819142047163,16.4169467083026,1.44665490358133e-60,5.19469664960995e-57
"ENSG00000139318.8","DUSP6","protein_coding",5534.66258077416,1.70331388389364,0.104877054830455,16.2410537428538,2.58446286931095e-59,7.95460750275778e-56
"ENSG00000104738.19","MCM4","protein_coding",10595.0435678717,1.18857023876711,0.0739134208640081,16.0805740672447,3.49128688297603e-58,9.40247198671483e-55
"ENSG00000049130.16","KITLG","protein_coding",3245.04161393277,1.57528366141666,0.10053557703946,15.6689174897595,2.46746111367938e-55,5.90682774380246e-52
"ENSG00000124491.16","F13A1","protein_coding",350.796120578405,3.40723647323703,0.217965043263872,15.6320317341537,4.40529531607452e-55,9.49120875848255e-52
"ENSG00000124762.14","CDKN1A","protein_coding",20464.0397336363,1.43351451460677,0.092221487910702,15.544257060728,1.74029030887417e-54,3.40859588224491e-51
"ENSG00000055163.21","CYFIP2","protein_coding",6940.56603686809,1.32700593358972,0.0859536438148877,15.4386233636308,9.00007792897471e-54,1.615888991498e-50
"ENSG00000244405.8","ETV5","protein_coding",1955.81948187085,1.6740523352605,0.108678431550903,15.403721891923,1.54513971472392e-53,2.56077193490207e-50
"ENSG00000148082.10","SHC3","protein_coding",9798.59405756701,0.906649205251272,0.0591249193898347,15.3344683529015,4.49941428205357e-53,6.92427719334601e-50
"ENSG00000169116.11","PARM1","protein_coding",659.460979656937,2.10916379546752,0.138291778002364,15.251548761138,1.60773897369999e-52,2.30924907922442e-49
"ENSG00000131080.15","EDA2R","protein_coding",2890.07290551852,1.33416358275665,0.0884704006170438,15.0803384346789,2.18147889394366e-51,2.937497673126e-48
"ENSG00000065328.17","MCM10","protein_coding",1947.48720505821,1.32205057270104,0.0896883932811782,14.7404867490081,3.54222468034127e-49,4.48924886693839e-46
"ENSG00000196562.16","SULF2","protein_coding",5928.44894512177,1.51003054374458,0.10349987961808,14.589684058732,3.26707120494123e-48,3.91050272835882e-45
"ENSG00000104327.7","CALB1","protein_coding",1234.62010321531,1.94014689012646,0.133982321118444,14.4806185915477,1.60644890798066e-47,1.82162851170755e-44
