"","G1","G2","G3","M1","M2","M3"
"ENSG00000227232.5",463.162996698163,367.771179443034,304.414187680968,396.522293605386,428.792636180952,428.603170550776
"ENSG00000278267.1",23.0347493917381,31.8876745181821,34.932775635521,43.3696258630891,38.3707056985192,27.6161836695088
"ENSG00000243485.5",19.7440709072041,0,17.9654274696965,4.13044055838944,9.59267642462981,12.1511208145839
"ENSG00000238009.6",0,8.50337987151523,2.99423791161608,2.06522027919472,7.67414113970385,1.10464734678035
"ENSG00000233750.3",10.6947050747356,9.56630235545464,1.99615860774405,13.4239318147657,6.71487349724087,6.62788408068211
"ENSG00000268903.1",37.0201329510077,23.3842946466669,22.9558239890566,74.3479300510098,47.963382123149,46.3951885647747
"ENSG00000269981.1",56.7642038582118,92.4742561027281,82.8405822213783,79.5109807489966,56.5967909053159,93.8950244763298
"ENSG00000239906.1",4.11334810566752,1.0629224839394,3.99231721548811,4.13044055838944,6.71487349724087,0
"ENSG00000241860.7",18.9214012860706,7.44045738757583,13.9731102542084,7.22827097718151,3.83707056985192,8.83717877424281
"ENSG00000279457.4",460.694987834763,418.791458672125,424.183704145612,422.33754709532,367.399507063322,391.045160760244
"ENSG00000273874.1",7.40402659020154,4.25168993575762,0.998079303872027,4.13044055838944,0.959267642462981,3.31394204034105
"ENSG00000228463.10",21.3894101494711,15.9438372590911,2.99423791161608,25.815253489934,19.1853528492596,25.4068889759481
"ENSG00000236679.2",0,6.37753490363642,2.99423791161608,1.03261013959736,1.91853528492596,0
"ENSG00000290385.1",113.528407716424,92.4742561027281,125.757992287875,165.217622335577,181.301584425503,174.534280791295
"ENSG00000250575.1",3.29067848453402,2.12584496787881,1.99615860774405,32.0109143275181,3.83707056985192,1.10464734678035
"ENSG00000230021.10",22.2120797706046,10.629224839394,0,39.2391853046996,32.6150998437413,38.6626571373123
"ENSG00000225972.1",4.93601772680103,8.50337987151523,7.98463443097622,6.19566083758415,0,6.62788408068211
"ENSG00000225630.1",62.5228912061464,78.6562638115159,57.8885996245776,57.8261678174521,67.1487349724087,58.5463093793586
